,Count,Nouns
1350,3,roadbike
1278,3,racj
601,3,film
1280,3,radius
1480,3,slice
43,3,alloy
1347,3,riverstone
592,3,fest
39,3,albina
591,3,ferry
1493,3,source
1346,3,riverplace
7,3,45
1289,3,range
1481,3,slip
1482,3,smile
1492,3,sound
1695,3,trp
1290,3,rate
201,3,brunch
75,3,authority
882,3,kona
1078,3,neighbourhood
161,3,boltcutter
888,3,ladd
262,3,carpark
1073,3,need
1071,3,near
255,3,capitol
1069,3,nature
253,3,canvas
905,3,leaf
913,3,leopard
1790,3,wine
1549,3,streetcar
1062,3,mugging
1061,3,mudguard
1059,3,mtn
1550,3,stretch
884,3,la
1081,3,net
166,3,boot
878,3,kitty
1101,3,ocean
1601,3,taylor
1599,3,tattoos
147,3,blanket
848,3,jefferson
855,3,johnson
275,3,celeste
857,3,juice
859,3,junker
865,3,keypad
1589,3,tag
1089,3,nordstrom
1439,3,shelf
1087,3,non
1085,3,nite
870,3,killer
1083,3,newseason
165,3,bookstore
1767,3,wave
1202,3,pl
1027,3,mind
214,3,bumper
1021,3,midday
212,3,bulding
208,3,budget
1018,3,meyer
193,3,brink
978,3,manufacturer
1445,3,shipping
1013,3,messenger
985,3,marriott
1010,3,mercer
987,3,mass
1006,3,member
204,3,btw
1390,3,scaffold
997,3,mcmenamin
1001,3,mechanic
963,3,luggage
959,3,lounge
1769,3,wear
958,3,lotse
1050,3,mother
168,3,border
1789,3,windshield
1571,3,super
230,3,button
229,3,butterfly
1786,3,wifes
175,3,bowl
1569,3,sunglass
938,3,listing
940,3,load
941,3,loading
223,3,burning
1774,3,wedding
1775,3,wednesday
949,3,lockup
956,3,loss
841,3,jail
281,3,century
1756,3,walgreen
1628,3,thirty
334,3,coating
90,3,bakery
732,3,handshake
736,3,hardtail
738,3,harold
1466,3,single
1740,3,version
1457,3,shut
1739,3,venue
756,3,highschool
760,3,history
318,3,claudia
770,3,homeowner
1160,3,pawn
315,3,clamp
1157,3,patron
726,3,halsey
85,3,backspace
775,3,hoody
1193,3,pile
711,3,guess
77,3,avail
1198,3,pinhead
714,3,gun
1196,3,pin
1195,3,pilot
1406,3,search
1405,3,sea
1458,3,shuttle
78,3,avalon
1190,3,pie
1808,3,wrap
1188,3,picnic
1736,3,velocity
1000,3,measure
721,3,hacksaw
1604,3,teal
1803,3,workout
312,3,citizen
122,3,belief
289,3,champagne
1124,3,owl
821,3,inspection
1606,3,tear
1121,3,overhead
824,3,insurance
826,3,interior
1118,3,outlet
129,3,beverage
286,3,chainring
131,3,bianchi
132,3,bick
831,3,invasion
1540,3,stollen
137,3,bikeroom
138,3,bikes
1755,3,wagon
777,3,hoop
1126,3,ownership
118,3,beaverton
1141,3,parade
779,3,horn
307,3,cinelli
1748,3,vineyard
